# harness	differential-sweep/1
# seed	20260817
# reference	historical
# subject	stub-faulty-minus
# sha256.use.jar	80ac8ae433b8345677472019991356950f094f4a104cfbce1f75783a7308788d
# sha256.atenearesearchgroup.uncertainty.jar	53b2a43feb0a0a39844a60278dd80a7d4b975ef324fb05c6db28831e835e59d0
# operations	URealValue.minus(value)
# rows	784
# rows.measured	784
# rows.agreement	558
# rows.disagreement	226
# rows.throwClassMismatch	0
# rows.javaTypeMismatch	0
# rows.subjectTypeObserved	0
# rows.subjectTypeAssumed	0
# verdict.AGREE	558
# verdict.DIFFER	226
# op.URealValue.minus(value).rows	784
# op.URealValue.minus(value).measured	784
# op.URealValue.minus(value).agreement	558
# op.URealValue.minus(value).disagreement	226
# op.URealValue.minus(value).javaTypeMismatch	0
# op.URealValue.minus(value).subjectTypeObserved	0
# op.URealValue.minus(value).subjectTypeAssumed	0
# op.URealValue.minus(value).distinctReferenceValues	389
# op.URealValue.minus(value).discriminating	true
# accepted.degenerateOperations	0
index	operation	inputs	historical	ported	verdict	note
55	URealValue.minus(value)	UREAL(0.0,1.0)@URealValue | UREAL(37.640335,0.974834)@URealValue	UREAL(-37.640335,1.3965318927815433)@URealValue	UREAL(-37.640335,0.02516600000000002)@URealValue	DIFFER	
56	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(0.0,0.0)@URealValue	UREAL(-0.0,0.0)@URealValue	UREAL(-0.0,0.0)@URealValue	AGREE	
57	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(0.0,1.0)@URealValue	UREAL(-0.0,1.0)@URealValue	UREAL(-0.0,1.0)@URealValue	AGREE	
58	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-0.0,0.0)@URealValue	UREAL(0.0,0.0)@URealValue	UREAL(0.0,0.0)@URealValue	AGREE	
59	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(1.0,0.0)@URealValue	UREAL(-1.0,0.0)@URealValue	UREAL(-1.0,0.0)@URealValue	AGREE	
60	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(1.0,1.0)@URealValue	UREAL(-1.0,1.0)@URealValue	UREAL(-1.0,1.0)@URealValue	AGREE	
61	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-1.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	AGREE	
62	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-1.0,1.0)@URealValue	UREAL(1.0,1.0)@URealValue	UREAL(1.0,1.0)@URealValue	AGREE	
63	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-1.0,0.5)@URealValue	UREAL(1.0,0.5)@URealValue	UREAL(1.0,0.5)@URealValue	AGREE	
64	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(0.5,0.5)@URealValue	UREAL(-0.5,0.5)@URealValue	UREAL(-0.5,0.5)@URealValue	AGREE	
65	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-0.5,0.25)@URealValue	UREAL(0.5,0.25)@URealValue	UREAL(0.5,0.25)@URealValue	AGREE	
66	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(2.0,0.0)@URealValue	UREAL(-2.0,0.0)@URealValue	UREAL(-2.0,0.0)@URealValue	AGREE	
67	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(100.0,0.001)@URealValue	UREAL(-100.0,0.001)@URealValue	UREAL(-100.0,0.001)@URealValue	AGREE	
68	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-100.0,0.001)@URealValue	UREAL(100.0,0.001)@URealValue	UREAL(100.0,0.001)@URealValue	AGREE	
69	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(4.9E-324,0.0)@URealValue	UREAL(-4.9E-324,0.0)@URealValue	UREAL(-4.9E-324,0.0)@URealValue	AGREE	
70	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(1.7976931348623157E308,0.0)@URealValue	UREAL(-1.7976931348623157E308,0.0)@URealValue	UREAL(-1.7976931348623157E308,0.0)@URealValue	AGREE	
71	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-1.7976931348623157E308,0.0)@URealValue	UREAL(1.7976931348623157E308,0.0)@URealValue	UREAL(1.7976931348623157E308,0.0)@URealValue	AGREE	
72	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(NaN,0.0)@URealValue	UREAL(NaN,0.0)@URealValue	UREAL(NaN,0.0)@URealValue	AGREE	
73	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(Infinity,0.0)@URealValue	UREAL(-Infinity,0.0)@URealValue	UREAL(-Infinity,0.0)@URealValue	AGREE	
74	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-Infinity,0.0)@URealValue	UREAL(Infinity,0.0)@URealValue	UREAL(Infinity,0.0)@URealValue	AGREE	
75	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(1.0,NaN)@URealValue	UREAL(-1.0,NaN)@URealValue	UREAL(-1.0,NaN)@URealValue	AGREE	
76	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(1.0,Infinity)@URealValue	UREAL(-1.0,Infinity)@URealValue	UREAL(-1.0,Infinity)@URealValue	AGREE	
77	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(1.0,-1.0)@URealValue	UREAL(-1.0,1.0)@URealValue	UREAL(-1.0,1.0)@URealValue	AGREE	
78	URealValue.minus(value)	UREAL(-0.0,0.0)@URealValue | UREAL(-46.064505,0.782649)@URealValue	UREAL(46.064505,0.782649)@URealValue	UREAL(46.064505,0.782649)@URealValue	AGREE	
